Dies ist synthetischer Datensatz für Unterrichtszwecke. Er ist Teil einer Open Educational Resource (OER) und enthält aus rechtlichen Gründen keine personenbezogenen Daten. Weitere Informationen und den Zugang zur OER finden sie auf folgender Website: https://quadriga-dk.github.io/Bewegtes-Bild-Fallstudie-2/
Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Column_8	Verlag	Jahr	Originalmedium	Länge	Schlagwort	Stichwort	Bib._Nummer
Montag 17:10 – vor dem Rathaus	Elfi Oberst	Regie	Übung	Potsdam			1993	16mm	95m	Spielfilm		DE-Po75
<<Die>> Topographie der ungesagten Worte	Erhard Moser	Regie	F1	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Atelier für Dokumentarfilm Babelsberg	1995	16mm	17m	Dokumentarfilm		DE-Po75
Das Dorf, das vergessen wurde	Danny Weber	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1988	U-matic			Parklandschaft	DE-Po75
Mein Mantel war zu warm	Ludwig-Martin Lübke	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1999	35mm	424m	Dokumentarfilm ; Interviewfilm		DE-Po75
<<Der>> letzte Schnee	Ottmar Schade			Potsdam			1989	VHS				DE-Po75
Sonderschicht erforderlich	Inge-Maria Jänicke			Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1988	16mm	400m			DE-Po75
Zwischen Feldweg und Fahrplan	Hannah Mayer	Regie		Potsdam			1988	16mm	38m	Dokumentarfilm ; Fahrzeug		DE-Po75
Wenn alles zu viel ist	Margot Händel	Regie	Lichtübung	Potsdam		Filmgruppe "Berlin-Mitte"	[1988/89]	16mm	52m	Dokumentarfilm		DE-Po75
Der Wind durch die Felder		Regie	Filmübung	Potsdam			1995	16mm	177m			DE-Po75
Archiv nur mit Genehmigung	Stefan Tietjen	Regie		Potsdam		Filmgruppe "Berlin-Mitte" ; Audiovisuelle Werkstatt Frankfurt/Oder	1997	Betacam SP				DE-Po75
Ausschuss dokumentieren	Sven Nolting			Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	[1988]	16mm	532m			DE-Po75
Der Sog der Stille	Wolfgang Ehrhardt	Regie		Potsdam			1996	16mm	131m	Dokumentarfilm		DE-Po75
Notfalltaste gedrückt	Olga Jürgens	Regie	Kameraübung	Potsdam		Produktionskollektiv Brandenburg/Havel ; Atelier fuer Dokumentarfilm BABELSBERG	1991	16mm	90m	Spielfilm		DE-Po75
Die Tragik der ungeschriebenen Gedichte	Yvonne Zink	Regie		Potsdam			1990	U-matic		Spielfilm ; Liebe		DE-Po75
Gebäude unbenutzt	Verena Wenzel			Potsdam			1987	16mm				DE-Po75
Zwischenprüfung abgesagt	Amir Ziad	Regie	F2	Potsdam		Atelier für Dokumentarfilm Babelsberg ; Atelier für Dokumentar-Film Babelsberg	1998	16mm	115m	Dokumentarfilm		DE-Po75
Schuhe bitte behalten	Sabine Schubert	Regie		Potsdam		Atelier für Dokumentar-Film Babelsberg	1988	16mm	15m			DE-Po75
Abmeldung vergessen		Idee		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1995	16mm	547m	Spielfilm		DE-Po75
Ein Wort in Stein		Buch		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1992	35mm	242m	Spielfilm ; Wende ; Frauen		DE-Po75
Der Tag, an dem nichts begann				Potsdam		Kollektiv Bild &Ton "Potsdam"	1996	16mm	46m	Animationsfilm ; Homosexualität		DE-Po75
<<Die>> Liste war von gestern	Gudrun-Maria Karg	Regie	Hauptprüfungsfilm	Potsdam		Atelier für Dokumentarfilm Babelsberg ; Produktionskollektiv Brandenburg/Havel	1991					DE-Po75
Die Unschärfe der Erinnerung		Regie	F3	Potsdam		Filmgruppe "Berlin-Mitte" ; Kollektiv Bild & Ton Potsdam	1995/96	16mm	10m	Spielfilm ; Soziale Probleme		DE-Po75
Kurze Bewegung nach links	Kai Oehme	Regie		Potsdam		Kollektiv Bild & Ton Potsdam	1995	16mm	178m	Dokumentarfilm ; Kunstgeschichte		DE-Po75
Ein Schritt zurück	Lothar Kessel	Regie	Diplomfilm	Potsdam		Produktionskollektiv Brandenburg/Havel	1998	Betacam SP				DE-Po75
<<Die>> Karte der Dämmerung	Ludwig-Markus Neubauer	Regie		Potsdam			1987	16mm	650m	Dokumentarfilm		DE-Po75
Der Tag, der in Träumen verblasst	Uta Vollrath		F1	Potsdam			1994	Betacam SP				DE-Po75
<<Eine>> Reise	Rita Vollrath			Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1994	16mm	156m	Spielfilm ; Liebe		DE-Po75
Zeichen	Steffen Cichon	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1995	35mm	177m	Dokumentarfilm		DE-Po75
<<Das>> letzte Geräusch	Yasmin Ziegler			Potsdam			1989	16mm	44m			DE-Po75
<<Der>> Plan hing zum letzten Mal	Vera Zinke	Regie		Potsdam			1990	VHS				DE-Po75
Wartezeit: unbegrenzt	Sven Nolting	Regie		Potsdam		Film gruppe Berlin-Mitte ; Kollektiv Bild & Ton Potsdam	1990/91					DE-Po75
Lichtverhältnisse unzureichend	Xenia Möller	Regie		Potsdam			1985	16mm	77m	Spielfilm		DE-Po75
Feuer im Blut	Martin Herrmann	Regie					1988/89	VHS				DE-Po75
<<Der>> Pfad der einsamen Wölfe	Götz Jürgens	Regie		Potsdam			1992	16mm	297m	Spielfilm	Studioinszenierung . Preußen	DE-Po75
Gefangene der Erinnerung	Kathrin-Elke Abicht	Kamera		Potsdam		Filmgruppe "Berlin-Mitte"	1990	35mm	150m	Historische Persönlichkeiten		DE-Po75
Die Ahnung von uns	Hung Pham	Regie		Potsdam			1995	16mm	27m	Dokumentarfilm ; Kriminalfilm ; Erotik		DE-Po75
Wenn die Zeit in Stille verharrt	Istvan Papp	Regie		Potsdam			1999	16mm	68m	Animationsfilm		DE-Po75
Wasserglas halb leer				Potsdam			1988	U-matic				DE-Po75
Die Uhr stand auf 18:53	Wolfgang-Zeno Beier			Potsdam		Produktionskollektiv Brandenburg/Havel	1988/89	U-matic		Dokumentarfilm ; Fahrzeug		DE-Po75
Die Angst im Lehrerzimmer	Ngo Minh	Regie		Potsdam			1993	16mm	1546m	Spielfilm ; Bühneninszenierung		DE-Po75
System wird überprüft	Fatima Ali	Regie		Potsdam			1989	VHS				DE-Po75
Ein Sprung durch Luft	Katrin Karge	Regie		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG ; Kollektiv Bild & Ton Potsdam	1987	16mm	700m	Werbefilm ; Porträtfilm	Arbeiter	DE-Po75
Platz	Jana Illner	Regie		Potsdam			1998/99	35mm	179m			DE-Po75
Die Pfeife ertönte spät	Heike Bergmann	Regie		Potsdam			1992/93					DE-Po75
...unter dem Polarlicht	Alexei Kuznetsov	Buch	Diplomfilm	Potsdam			1991	16mm	41m	Dokumentarfilm		DE-Po75
<<Der>> Weg ins Ungewisse	Dagmar Fricke	Regie		Potsdam			[1988]	35mm	51m	Dokumentarfilm ; Beruf		DE-Po75
...und der Himmel weint			F1	Potsdam		Atelier für Dokumentarfilm Babelsberg ; Kollektiv Bild & Ton Potsdam	1999	16mm	244m			DE-Po75
Die Klingel klang falsch	Götz Jürgens	Regie	Kameraübung	Potsdam			1990	35mm	120m	Spielfilm	Arbeiter DDR	DE-Po75
Fragmente des Lebens		Regie	Diplomfilm	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1992-93	16mm		Spielfilm		DE-Po75
Die Stimme der Bilder	Amir Al-Farouq	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1994	16mm	381m	Dokumentarfilm ; Krieg		DE-Po75
Die Fensterbank war noch feucht	Anna Sokolova	Regie	Hauptprüfungsfilm	Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1986	16mm	70m			DE-Po75
Zwischen Poesiealbum und Parteitag	Igor Petrenko			Potsdam			1994	Betacam SP			Heimkinder	DE-Po75
Ruhende Stimmen	Uschi Bongartz	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1986/87	16mm	460m	Dokumentarfilm		DE-Po75
<<Die>> Stadt der fallenden Engel		Regie	Diplomfilm	Potsdam			1999	35mm	22m	Spielfilm		DE-Po75
Im Flüstern der leisen Erinnerungen	Gundula Jaschke	Kamera	Kameraübung	Potsdam		Filmgruppe "Berlin-Mitte"	1991	16mm	114m	Spielfilm		DE-Po75
Spiegel schief montiert	Tim-Walter Groß			Potsdam			1992/93	S-VHS		Spielfilm		DE-Po75
<<Dem>> Wind entlang	Cornelius Zink	Kamera	F2	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1986	16mm		Dokumentarfilm		DE-Po75
Der Wind stand still	Cornelius Zink		Kameraübung	Potsdam		Atelier für Dokumentar-Film Babelsberg ; Filmstudio Babelsberg Ost	1985	16mm		Dokumentarfilm	Kunst	DE-Po75
Klang der Stille	Ulvi Völker	Regie	Kameraübung	Potsdam		Atelier für Dokumentar-Film Babelsberg ; Filmstudio Babelsberg Ost	1989	16mm	43m		Bahnhof	DE-Po75
Seite 4 fehlt		Moderation	Lichtübung	Potsdam			1994	35mm	89m	Spielfilm		DE-Po75
Ein leiser Funke in der Dunkelheit	Uta Vollrath	Animation		Potsdam			1994	Betacam SP				DE-Po75
<<Das>> Labyrinth der Erinnerung		Regie		Potsdam		Kollektiv Bild und Ton Potsdam	1993	35mm	107m	Dokumentarfilm ; Dokumentarfilm		DE-Po75
<<Der>> Schatten des Mondes	Inge Hoffmann	Regie	Filmübung	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1995	Betacam		Spielfilm		DE-Po75
<<Der>> Schrei der stummen Violinen	Hoang Thi Ngoc Anh	Kameraübung		Potsdam			1988	35mm	60m	Dokumentarfilm ; Porträtfilm ; Juden ; Soziale Probleme		DE-Po75
<<Ein>> Fenster aus Klang	Katrin Karge	Kameraübung K3	Hauptprüfungsfilm	Potsdam			1986					DE-Po75
Bruch im Verlauf	Reiner Schultze	Kamera		Potsdam			ca. 1989	16mm	639m	Animationsfilm ; Familie		DE-Po75
Sitzplan ohne Gesichter		Regie		Potsdam			1987	16mm	344m	Dokumentarfilm ; Arbeit ; Porträtfilm	Arbeiter	DE-Po75
Ein Schritt ins Unbekannte der Zeit	Pham Quang	Regie	Diplomfilm	Potsdam		Film gruppe Berlin-Mitte	1995	16mm	96m			DE-Po75
Die Melodie eines vergänglichen Lichts	Bernd Czerny	Regie		Potsdam			[1988]	Betacam SP				DE-Po75
Das Echo der vergessenen Worte	Zhang Mei	Regie	Zeitbeschreibung	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee ; Atelier fuer Dokumentarfilm BABELSBERG	1998	S-VHS		Spielfilm		DE-Po75
Ein Bube namens Alex	Tariq Salem	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1985/86	16mm	245m	Dokumentarfilm		DE-Po75
Der leere Bahnhof von Zwickau	Wolfhard Yildirim	Regie		Potsdam			1993	Betacam SP		Spielfilm		DE-Po75
Wind an der Leine				Potsdam			1994	16mm	152m	Spielfilm ; Adaption		DE-Po75
Ich sah dich aus dem Augenwinkel	Christfried Neuhaus	Animation	Montageübung	Potsdam			1996	35mm	20m			DE-Po75
Nichts eingetragen	Ludger Diederich	Regie	Diplomfilm	Potsdam		Kollektiv Bild und Ton Potsdam ; "AudioVisuelle Werkstatt" Frankfurt/Oder	1989	U-matic				DE-Po75
Flimmer	Sven Nolting	Regie		Potsdam		Filmstudio Babelsberg Ost	1991	16mm		Dokumentarfilm		DE-Po75
Ausflug in den Süden – 1998 (Magdeburg)	Olga-Brigitte Kühnel	Kamera		Potsdam		Atelier für Dokumentar-Film Babelsberg ; Kollektiv Bild &Ton "Potsdam"	1988/89	16mm			Senioren ; Punker	DE-Po75
Der Pausengong kam zu spät	Olga-Brigitte Kühnel			Potsdam			1988	16mm	59m	Spielfilm ; "Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""		DE-Po75
Als du zum letzten Mal lachtest		Regie	Hauptprüfungsfilm	Potsdam		Kollektiv Bild und Ton Potsdam ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1985/86	16mm	59m	Dokumentarfilm		DE-Po75
<<Ein>> Schneesturm in Nowosibirsk		Regie	Diplomfilm	Potsdam			1989			Spielfilm ; Wende		DE-Po75
Zwischen Halle und Hoffnung	Lorenz Fischer	Regie	F1	Potsdam			[1997]	35mm	1550m	Dokumentarfilm	nonverbal	DE-Po75
Niemand redete beim Frühstück	Sven Nolting			Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1999					DE-Po75
Mein Vater war kein Genosse	Tim Weber	Regie		Potsdam		Kollektiv Bild und Ton Potsdam	1991	35mm	113m	Gewalt		DE-Po75
Fahrt ins Unbekannte – Leipzig 2000	Gundula Jaschke			Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1988	16mm	53m	Dokumentarfilm		DE-Po75
Die leise Melodie der vergessenen Zeit	Wolfgang Rautenberg	Moderation		Potsdam			1994	16mm	38m	Dokumentarfilm		DE-Po75
Der Satz, der alles änderte	Egon Franke	Regie		Potsdam			1996/97	Betacam SP				DE-Po75
Uhr wurde umgestellt – vermutlich	Chantal-Stefanie Krause	Regie	F3	Potsdam		Atelier für Dokumentar-Film Babelsberg	1993			Spielfilm ; Ausländer		DE-Po75
Der Regen hielt uns zurück	Tina Bongartz	Regie	Lichtübung	Potsdam			1990	U-matic		Liebe		DE-Po75
Muster veraltet	Oskar Rautenberg	Regie		Potsdam			1999	35mm	352m	Trailer		DE-Po75
Die Poesie der defekten Neonreklamen	Otmar Rösler	Kamera		Potsdam			[1988]	U-matic				DE-Po75
Die Absprache war still	Rita Vollrath			Potsdam			1996	35mm	413m			DE-Po75
Zwischen Tropfen	York Töpfer	Regie	F1	Potsdam			1993	Betacam SP		Szenografie		DE-Po75
Wenn der Tag sich dem Abend neigt	Detlef Pätzold	Regie		Potsdam			1992	Betacam SP			Fiktion ; Spot ; Stadtbilder	DE-Po75
Die Zeiger der Zeit – 2007 (Magdeburg)	Janosch Büchner	Regie		Potsdam			1987	16mm	142m			DE-Po75
Fragmente der Erinnerung	Chantal-Stefanie Krause	Regie	Abschlußfilm	Potsdam			1999			Dokumentarfilm ; Homosexualität		DE-Po75
Und du nicht wach wurdest	Bui Thi Mai			Potsdam			1991	35mm	68m	Bühneninszenierung	Wendezeit	DE-Po75
Feierabend gestrichen	Martin Herrmann			Potsdam			1988	16mm	129m	Dokumentarfilm		DE-Po75
<<Das>> Ende der Reise	Jörg Pätzold	Regie	Animationsübung	Potsdam			1995					DE-Po75
Und die Milch war alle	Kai Oehme	Regie	F3	Potsdam			1998	35mm		Spielfilm		DE-Po75
Die Straße nach Eisenach		Regie		Potsdam			1985	16mm	37m	Dokumentarfilm	Toshi-Do	DE-Po75
Ein Klang aus Tiefe	Xenia Möller	Idee		Potsdam			1992	35mm	300m	Dokumentarfilm ; Spielfilm	Kinospot	DE-Po75
Im Rahmen des Lichts	Stefan Popov	Regie	Lichtübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1991	35mm	66m	Bühneninszenierung ; Ehe ; Frauen ; Soziale Probleme		DE-Po75
<<Das>> versunkene Dorf		Regie		Potsdam			1994	Betacam SP				DE-Po75
Flüsternde Wände	Xenia Schade	Kamera	Regieübung	Potsdam			1992	16mm	70m			DE-Po75
<<Die>> Brücke ins Nichts		Regie		Potsdam			1996/97	16mm	85m	Spielfilm ; Kriminalfilm		DE-Po75
Ein Riss im Raum	Ulrike-Valerie Xander	Regie	Abschlußfilm	Potsdam			1995	16mm	1785m	Spielfilm		DE-Po75
<<Den>> Träumen nah	Friederike Gohlke	Regie	Diplomfilm	Potsdam			1998	Betacam SP		Dokumentarfilm		DE-Po75
Und die Fahnen wehten falsch	Jörn-Karsten Lichtenberg	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; lichtbild Arbeits gemeinschaft Griebnitzsee	1986	16mm	77m		DRA	DE-Po75
Am Fenster der Fremde	Xaver Ebeling	Kameraübung		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1993/94	Betacam SP				DE-Po75
Im Licht der Risse	Cornelius Zink	Buch		Potsdam			1985	16mm	1175m	Dokumentarfilm		DE-Po75
Zweifel	Paul Finke	Regie		Potsdam			1993	35mm	34m	Dokumentarfilm ; Spielfilm		DE-Po75
<<Der>> Klang der Stille	Yvonne Zink	Regie		Potsdam		Kollektiv Bild und Ton Potsdam ; Atelier fuer Dokumentarfilm BABELSBERG	1989					DE-Po75
<<Der>> letzte Akkord	Hoang Thi Ngoc	Regie	TV-Übung	Potsdam			1989	U-matic		Animationsfilm ; Adaption		DE-Po75
<<Ein>> Hauch von Morgen	Gertraud Tietmeyer			Potsdam		Kollektiv Bild &Ton "Potsdam"	1988/89	16mm	148m	Dokumentarfilm ; Architektur ; Arbeit ; Zweiter Weltkrieg		DE-Po75
Bahnhof ohne Gleis				Potsdam			1987	16mm			Arbeiter . Bäckereihandwerk . Theater . Minenarbeiter . Minen . Goldmine . Arbeiter	DE-Po75
Ich nahm den zweiten Schritt zuerst	Bernd Yilmaz	Kamera	Kameraübung	Potsdam			1989	16mm	47.7m	Dokumentarfilm	DDR ; Stasizentrale Leipzig ; Berlin Außerordentlicher Parteitag der SED 1989 ; 2 ; [zweiter] Weltkrieg	DE-Po75
Der Pfennig lag seit Tagen dort	Cornelia Dittberner	Regie	Diplomfilm	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1993	S-VHS			3D Computeranimation ; ohne Worte ; ohne Sprache	DE-Po75
Tropfen auf Marmor	Fatima Ali			Potsdam		Atelier für Dokumentarfilm Babelsberg ; Filmstudio Babelsberg Ost	1989	VHS		Dokumentarfilm		DE-Po75
Niemand kontrollierte die Anmeldung				Potsdam			1990	35mm	819m		Grenze . Wende . Afrika	DE-Po75
Wenn keiner mehr fragte	Nancy-Jutta Henke	Kamera		Potsdam		Filmstudio Babelsberg Ost	1992	Betacam SP		Spielfilm		DE-Po75
Am Horizont der Formen	Uschi Bongartz	Kamera		Potsdam		Filmgruppe Berlin-Mitte ; Atelier für Dokumentar-Film Babelsberg	1986			Spielfilm ; Liebe		DE-Po75
Wenn das Licht zu grell wird		Kamera	Kameraübung	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Atelier fuer Dokumentarfilm BABELSBERG	1989					DE-Po75
Die Schutzbrille war beschlagen	Reiner Schultze	Regie		Potsdam			[1988]	16mm	241m			DE-Po75
Mein erster Kinobesuch im Osten	Elfi Oberst	Regie	Diplomfilm	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1995	Betacam SP		Spielfilm	Relgion	DE-Po75
Ohne Haltepunkt	Otmar Rösler			Potsdam		Film gruppe Berlin-Mitte ; Atelier für Dokumentar-Film Babelsberg	1990	Betacam SP				DE-Po75
Resonanzraum	Marta Novak	Idee	F1	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	[1997]	16mm	86m	Spielfilm ; Nationalsozialismus		DE-Po75
Farbe war eine Vermutung	Xaver Ebeling	Regie		Potsdam		Kollektiv Bild und Ton Potsdam ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1996	16mm	9m		Werbespot . ohne Worte . Kinospot . ohne Sprache . Spot . nonverbal . ohne Dialog . ohne Sprache . ohne Dialog . no dialogue	DE-Po75
<<Das>> Buch der gebrochenen Versprechen	Olga Mielke	Regie	Kameraübung	Potsdam			1991	35mm	76m	Spielfilm ; Jugendliche ; Porträtfilm		DE-Po75
<<Das>> Versprechen des Lichts	Falk Tamm	Buch		Potsdam			1985	16mm		Animationsfilm		DE-Po75
Die Norm war neu		Regie					1988/89	U-matic		Spielfilm ; Arbeit		DE-Po75
Ich nahm den falschen Mantel	Chantal-Stefanie Krause	Regie	F3	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Kollektiv Bild &Ton "Potsdam"	1994	S-VHS		Dokumentarfilm ; Computeranimation		DE-Po75
Es war nicht mein Stift	Jürgen Uhlig	Regie	Kameraübung	Potsdam		Filmgruppe "Berlin-Mitte" ; Kollektiv Bild und Ton Potsdam	1986	16mm	320m	Dokumentarfilm ; Adaption		DE-Po75
Der letzte Spiegel	Anja-Hildegard Herold	Regie	Montageübung	Potsdam		Filmstudio Babelsberg Ost	1998	16mm	232m	Spielfilm ; Tod		DE-Po75
Ein Abend ohne Farben	Benjamin Christ	Regie		Potsdam		Atelier für Dokumentar-Film Babelsberg ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1987	U-matic		Dokumentarfilm ; Biografischer Film		DE-Po75
Der Schlüssel war zu weich	Udo-Ulrich Xylander	Kamera				Atelier für Dokumentarfilm Babelsberg	1989	35mm		Dokumentarfilm		DE-Po75
Ein Moment, der in Herzen nachklingt	Margot Händel		TV-Übung	Potsdam			1989	35mm	130m	Dokumentarfilm		DE-Po75
<<Ein>> Tanz der Schatten		Regie		Potsdam			1990	Betacam SP				DE-Po75
Die Magie eines unverhofften Lächelns	Jörg Pätzold	Regie	F2	Potsdam			1992	16mm	70m	Adaption		DE-Po75
Am Rand des Vermissens	Marta Novak	Regie		Potsdam			1998	35mm	9m			DE-Po75
Als ich nicht mehr suchte	Tariq Abbas	Kamera	F1	Potsdam			1996	16mm	40m		Werbespot	DE-Po75
Notruf – aber leise	Andreas Koch	Regie		Potsdam		Kollektiv Bild & Ton Potsdam	1996	35mm	57m			DE-Po75
Schlafwandeln in Dresden	Ludwig-Martin Lübke	Regie		Potsdam			1996/97	Betacam SP		Animationsfilm		DE-Po75
Die Zeit, die wir erfanden	Nadine Kindler	Regie		Potsdam			1993	Betacam SP		Dokumentarfilm ; Animationsfilm		DE-Po75
<<Ein>> Hauch von Ewigkeit				Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1997	16mm	78m			DE-Po75
Am Kaffeetisch des Vertrauens	Cilli Finke	Regie		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1999					DE-Po75
Vielleicht war es richtig	Arndt Böttger	Regie		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	[ca. 1986]	35mm	45m			DE-Po75
Vielleicht nur ein Spiel	Olga Jürgens			Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1990					DE-Po75
<<Die>> Stadt der schweigenden Glocken		Redaktion		Potsdam			[1985]	16mm	43m	Dokumentarfilm ; Zeichentrickfilm	Arbeitswelt . Filmmontage . Potsdam . Großküche . Weichenstellwerk . Modelleisenbahn	DE-Po75
Wo das Leben auf Pause stand	Chantal-Stefanie Krause	Regie	F2	Potsdam			1997/98	Betacam SP				DE-Po75
Mitteilung auf Rückseite	Louis Mayer	Kameraübung		Potsdam			1987	16mm	47m			DE-Po75
Wo der Morgen ein Versprechen hält	Egon Härtel	Kamera	Hauptprüfungsfilm	Potsdam			1990	16mm	38.2m			DE-Po75
<<Die>> Unterlagen waren geordnet	Reinhard Schade	Regie	F1	Potsdam			1997	16mm	245m	Spielfilm		DE-Po75
Kugelschreiber: 1 Stück pro Person	Jana Illner		F1	Potsdam		Filmgruppe Berlin-Mitte	1997	16mm	42m	Dokumentarfilm ; Zeichentrickfilm ; Porträtfilm		DE-Po75
Wenn Geschichte durch Fenster zieht	Cornelius Zink	Regie		Potsdam			1985	16mm		Porträtfilm		DE-Po75
Nacht in Suhl	Sven Nolting	Regie		Potsdam		Atelier für Dokumentar-Film Babelsberg ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1994	35mm	311m	Animationsfilm ; Ausländer ; Komödie		DE-Po75
Ich hörte einen Namen, der keiner war	Bernd Czerny	Regie					1988	16mm	190m			DE-Po75
Die Rückkehr in Gedanken		Regie	F3	Potsdam			1995	35mm	160m		Grenze . Mauer	DE-Po75
Zwischen Traktor und Trauer	Ottmar Schade	Buch	Kameraübung	Potsdam			1987	35mm		Dokumentarfilm ; Spielfilm ; Porträtfilm		DE-Po75
Fensterbeschlag – Dezember 1989	Zenta Abt	Regie		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1988	VHS		Dokumentarfilm ; Landschaft ; Adaption ; Porträtfilm		DE-Po75
Schattenwurf im März		Kameraübung	Lichtübung	Potsdam			1988	16mm				DE-Po75
Mein FDJ-Ausweis lag im Schrank	Ingeburg Lütke	Kamera		Potsdam			1994	Betacam SP				DE-Po75
<<Das>> Gespräch war zu kurz		Regie		Potsdam			1998	16mm	30m	Spielfilm		DE-Po75
Liste der Ausfälle	Anastasia Ivanović	Regie	F1	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee ; Atelier fuer Dokumentarfilm BABELSBERG	1995	DVD		Videoclip	nonverbal	DE-Po75
Die Fragen des Abends	Bernd Yilmaz	Regie		Potsdam			1989			Talkshow		DE-Po75
Wenn der Himmel in Tränen zerfällt	Florian Mayer	Regie		Potsdam		Filmgruppe "Berlin-Mitte" ; Atelier fuer Dokumentarfilm BABELSBERG	1996	16mm	15m	Spielfilm		DE-Po75
Schatten über Prag	Egon Franke			Potsdam			1997	Betacam SP				DE-Po75
Als die Antwort zu früh kam		Regie	Diplomfilm	Potsdam			1989	16mm		Spielfilm		DE-Po75
Niemand trank den Tee	Tran Van Kiet	Regie	F3	Potsdam			1996/97	35mm	282m			DE-Po75
Der Apfel aus dem Westen		Regie	Filmübung	Potsdam			1986	16mm	160m	Dokumentarfilm		DE-Po75
...wo die Berge fallen				Potsdam			1990	16mm	577m			DE-Po75
Funkelnde Leere	Luise Kühne	Regie	TV-Übung	Potsdam		Kollektiv Bild und Ton Potsdam ; Audiovisuelle Werkstatt Frankfurt/Oder	1989	VHS		Adaption ; Politik ; Dokumentarfilm		DE-Po75
<<Ein>> Labyrinth aus Spiegel		Regie	Abschlußfilm	Potsdam			1989	16mm	94m	Dokumentarfilm	DDR Rockband . Talksendung . Oper	DE-Po75
Auf dem Bolzplatz in Magdeburg	Oskar Rothe	Regie		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1989					DE-Po75
Niemand wusste, was geschah	Xaver Wehner	Regie		Potsdam		Kollektiv Bild und Ton Potsdam	1994	16mm	154m	Dokumentarfilm ; Soziale Probleme ; Kriminalität	Krimikomödie	DE-Po75
<<Die>> dritte Tür	Heidemarie Karge	Regie		Potsdam			1986	16mm	150m	Dokumentarfilm		DE-Po75
Die Chronik der verwaisten Schuhe	Stephan Schneider	Regie	F2	Potsdam		Produktionskollektiv Brandenburg/Havel ; lichtbild Arbeits gemeinschaft Griebnitzsee	1997	Betacam SP		Spielfilm		DE-Po75
Pult wurde versetzt	Xenia Schollmeyer	Regie		Potsdam		Film gruppe Berlin-Mitte ; Atelier fuer Dokumentarfilm BABELSBERG	1995	16mm	22m			DE-Po75
Kaffeekanne, halb voll	Renate Eichel	Regie	F1	Potsdam			1995/96				Parklandschaft . Potsdam . ohne Sprache . ohne Dialog . no dialogue	DE-Po75
Mein Name stand an der Wand				Potsdam		Filmgruppe Berlin-Mitte ; Kollektiv Bild & Ton Potsdam	1990	S-VHS				DE-Po75
Ein Glanz in Grau	Bernd Czerny	Kamera		Potsdam			[1988]	16mm	44:3m	Dokumentarfilm		DE-Po75
Der Duft alter Zeitungen		Regie	F3	Potsdam			1995	Betacam SP		Animationsfilm	Musikvideo . Agent Orange . Chemische Kampfmittel . Religiösität	DE-Po75
