Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Verlag_1	Verlag_2	Jahr_1	Jahr_2	Jahr_Schätzung	Originalmedium	Länge	Schlagwort_1	Schlagwort_2	Schlagwort_3	Schlagwort_4	Schlagwort_5	Schlagwort_6	Stichwort_1	Stichwort_2	Stichwort_3	Stichwort_4	Stichwort_5	Stichwort_6	Stichwort_7	Stichwort_8	Stichwort_9	Stichwort_10	Stichwort_11
Sog der Stille, Der	Wolfgang Ehrhardt	Regie		Potsdam			1996		false	16mm	131m	Dokumentarfilm																
Notfalltaste gedrückt	Olga Jürgens	Regie	Kameraübung	Potsdam	Produktionskollektiv Brandenburg/Havel	Atelier für Dokumentarfilm Babelsberg	1991		false	16mm	90m	Spielfilm																
Tragik der ungeschriebenen Gedichte, Die	Yvonne Zink	Regie		Potsdam			1990		false	U-matic		Spielfilm	Liebe															
Gebäude unbenutzt	Verena Wenzel			Potsdam			1987		false	16mm																		
Zwischenprüfung abgesagt	Amir Ziad	Regie	F2	Potsdam	Atelier für Dokumentarfilm Babelsberg	Atelier für Dokumentarfilm Babelsberg	1998		false	16mm	115m	Dokumentarfilm																
Schuhe bitte behalten	Sabine Schubert	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false	16mm	15m																	
Abmeldung vergessen		Idee		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1995		false	16mm	547m	Spielfilm																
Wort in Stein, Ein		Buch		Potsdam	Atelier für Dokumentarfilm Babelsberg		1992		false	35mm	242m	Spielfilm	Wende	Frauen														
Tag, an dem nichts begann, Der				Potsdam	Kollektiv Bild & Ton Potsdam		1996		false	16mm	46m	Animationsfilm	Homosexualität															
Liste war von gestern, Die	Gudrun-Maria Karg	Regie	Hauptprüfungsfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg	Produktionskollektiv Brandenburg/Havel	1991		false																			
Unschärfe der Erinnerung, Die		Regie	F3	Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1995	1996	false	16mm	10m	Spielfilm	Soziale Probleme															
Kurze Bewegung nach links	Kai Oehme	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1995		false	16mm	178m	Dokumentarfilm	Kunstgeschichte															
Schritt zurück, Ein	Lothar Kessel	Regie	Diplomfilm	Potsdam	Produktionskollektiv Brandenburg/Havel		1998		false	Betacam SP																		
Karte der Dämmerung, Die	Ludwig-Markus Neubauer	Regie		Potsdam			1987		false	16mm	650m	Dokumentarfilm																
Tag, der in Träumen verblasst, Der	Uta Vollrath		F1	Potsdam			1994		false	Betacam SP																		
Reise, Eine	Rita Vollrath			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1994		false	16mm	156m	Spielfilm	Liebe															
Zeichen	Steffen Cichon	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1995		false	35mm	177m	Dokumentarfilm																
letzte Geräusch, Das	Yasmin Ziegler			Potsdam			1989		false	16mm	44m																	
Plan hing zum letzten Mal, Der	Vera Zinke	Regie		Potsdam			1990		false	VHS																		
Wartezeit: unbegrenzt	Sven Nolting	Regie		Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1990	1991	false																			
Lichtverhältnisse unzureichend	Xenia Möller	Regie		Potsdam			1985		false	16mm	77m	Spielfilm																
Feuer im Blut	Martin Herrmann	Regie					1988	1989	false	VHS																		
Pfad der einsamen Wölfe, Der	Götz Jürgens	Regie		Potsdam			1992		false	16mm	297m	Spielfilm						Studioinszenierung	Preußen									
Gefangene der Erinnerung	Kathrin-Elke Abicht	Kamera		Potsdam	Filmgruppe Berlin-Mitte		1990		false	35mm	150m	Historische Persönlichkeiten																
Ahnung von uns, Die	Hung Pham	Regie		Potsdam			1995		false	16mm	27m	Dokumentarfilm	Kriminalfilm	Erotik														
Wenn die Zeit in Stille verharrt	Istvan Papp	Regie		Potsdam			1999		false	16mm	68m	Animationsfilm																
Wasserglas halb leer				Potsdam			1988		false	U-matic																		
Uhr stand auf 18:53, Die	Wolfgang-Zeno Beier			Potsdam	Produktionskollektiv Brandenburg/Havel		1988	1989	false	U-matic		Dokumentarfilm	Fahrzeug															
Angst im Lehrerzimmer, Die	Ngo Minh	Regie		Potsdam			1993		false	16mm	1546m	Spielfilm	Bühneninszenierung															
System wird überprüft	Fatima Ali	Regie		Potsdam			1989		false	VHS																		
Sprung durch Luft, Ein	Katrin Karge	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg	Kollektiv Bild & Ton Potsdam	1987		false	16mm	700m	Werbefilm	Porträtfilm					Arbeiter										
Platz	Jana Illner	Regie		Potsdam			1998	1999	false	35mm	179m																	
Pfeife ertönte spät, Die	Heike Bergmann	Regie		Potsdam			1992	1993	false																			
...unter dem Polarlicht	Alexei Kuznetsov	Buch	Diplomfilm	Potsdam			1991		false	16mm	41m	Dokumentarfilm																
Weg ins Ungewisse, Der	Dagmar Fricke	Regie		Potsdam			1988		false	35mm	51m	Dokumentarfilm	Beruf															
...und der Himmel weint			F1	Potsdam	Atelier für Dokumentarfilm Babelsberg	Kollektiv Bild & Ton Potsdam	1999		false	16mm	244m																	
Klingel klang falsch, Die	Götz Jürgens	Regie	Kameraübung	Potsdam			1990		false	35mm	120m	Spielfilm						Arbeiter DDR										
Fragmente des Lebens		Regie	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1992	1993	false	16mm		Spielfilm																
Stimme der Bilder, Die	Amir Al-Farouq	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1994		false	16mm	381m	Dokumentarfilm	Krieg															
Fensterbank war noch feucht, Die	Anna Sokolova	Regie	Hauptprüfungsfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg		1986		false	16mm	70m																	
Zwischen Poesiealbum und Parteitag	Igor Petrenko			Potsdam			1994		false	Betacam SP								Heimkinder										
Ruhende Stimmen	Uschi Bongartz	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1986	1987	false	16mm	460m	Dokumentarfilm																
Stadt der fallenden Engel, Die		Regie	Diplomfilm	Potsdam			1999		false	35mm	22m	Spielfilm																
Im Flüstern der leisen Erinnerungen	Gundula Jaschke	Kamera	Kameraübung	Potsdam	Filmgruppe Berlin-Mitte		1991		false	16mm	114m	Spielfilm																
Spiegel schief montiert	Tim-Walter Groß			Potsdam			1992	1993	false	S-VHS		Spielfilm																
Wind entlang, Dem	Cornelius Zink	Kamera	F2	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1986		false	16mm		Dokumentarfilm																
Wind stand still, Der	Cornelius Zink		Kameraübung	Potsdam	Atelier für Dokumentarfilm Babelsberg	Filmstudio Babelsberg Ost	1985		false	16mm		Dokumentarfilm						Kunst										
Klang der Stille	Ulvi Völker	Regie	Kameraübung	Potsdam	Atelier für Dokumentarfilm Babelsberg	Filmstudio Babelsberg Ost	1989		false	16mm	43m							Bahnhof										
Seite 4 fehlt		Moderation	Lichtübung	Potsdam			1994		false	35mm	89m	Spielfilm																
leiser Funke in der Dunkelheit, Ein	Uta Vollrath	Animation		Potsdam			1994		false	Betacam SP																		
Labyrinth der Erinnerung, Das		Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1993		false	35mm	107m	Dokumentarfilm	Dokumentarfilm															
Schatten des Mondes, Der	Inge Hoffmann	Regie	Filmübung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1995		false	Betacam		Spielfilm																
Schrei der stummen Violinen, Der	Hoang Thi Ngoc Anh	Kameraübung		Potsdam			1988		false	35mm	60m	Dokumentarfilm	Porträtfilm	Juden	Soziale Probleme													
Fenster aus Klang, Ein	Katrin Karge	Kameraübung K3	Hauptprüfungsfilm	Potsdam			1986		false																			
Bruch im Verlauf	Reiner Schultze	Kamera		Potsdam			1989		true	16mm	639m	Animationsfilm	Familie															
Sitzplan ohne Gesichter		Regie		Potsdam			1987		false	16mm	344m	Dokumentarfilm	Arbeit	Porträtfilm				Arbeiter										
Schritt ins Unbekannte der Zeit, Ein	Pham Quang	Regie	Diplomfilm	Potsdam	Filmgruppe Berlin-Mitte		1995		false	16mm	96m																	
Melodie eines vergänglichen Lichts, Die	Bernd Czerny	Regie		Potsdam			1988		false	Betacam SP																		
Echo der vergessenen Worte, Das	Zhang Mei	Regie	Zeitbeschreibung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1998		false	S-VHS		Spielfilm																
Bube namens Alex, Ein	Tariq Salem	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1985	1986	false	16mm	245m	Dokumentarfilm																
leere Bahnhof von Zwickau, Der	Wolfhard Yildirim	Regie		Potsdam			1993		false	Betacam SP		Spielfilm																
Wind an der Leine				Potsdam			1994		false	16mm	152m	Spielfilm	Adaption															
Ich sah dich aus dem Augenwinkel	Christfried Neuhaus	Animation	Montageübung	Potsdam			1996		false	35mm	20m																	
Nichts eingetragen	Ludger Diederich	Regie	Diplomfilm	Potsdam	Kollektiv Bild & Ton Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	1989		false	U-matic																		
Flimmer	Sven Nolting	Regie		Potsdam	Filmstudio Babelsberg Ost		1991		false	16mm		Dokumentarfilm																
Ausflug in den Süden – 1998 (Magdeburg)	Olga-Brigitte Kühnel	Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg	Kollektiv Bild & Ton Potsdam	1988	1989	false	16mm								Senioren	Punker									
Pausengong kam zu spät, Der	Olga-Brigitte Kühnel			Potsdam			1988		false	16mm	59m	Spielfilm	"Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""															
Als du zum letzten Mal lachtest		Regie	Hauptprüfungsfilm	Potsdam	Kollektiv Bild & Ton Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1985	1986	false	16mm	59m	Dokumentarfilm																
Schneesturm in Nowosibirsk, Ein		Regie	Diplomfilm	Potsdam			1989		false			Spielfilm	Wende															
Zwischen Halle und Hoffnung	Lorenz Fischer	Regie	F1	Potsdam			1997		false	35mm	1550m	Dokumentarfilm						nonverbal										
Niemand redete beim Frühstück	Sven Nolting			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1999		false																			
Mein Vater war kein Genosse	Tim Weber	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1991		false	35mm	113m	Gewalt																
Fahrt ins Unbekannte – Leipzig 2000	Gundula Jaschke			Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false	16mm	53m	Dokumentarfilm																
leise Melodie der vergessenen Zeit, Die	Wolfgang Rautenberg	Moderation		Potsdam			1994		false	16mm	38m	Dokumentarfilm																
Satz, der alles änderte, Der	Egon Franke	Regie		Potsdam			1996	1997	false	Betacam SP																		
Uhr wurde umgestellt – vermutlich	Chantal-Stefanie Krause	Regie	F3	Potsdam	Atelier für Dokumentarfilm Babelsberg		1993		false			Spielfilm	Ausländer															
Regen hielt uns zurück, Der	Tina Bongartz	Regie	Lichtübung	Potsdam			1990		false	U-matic		Liebe																
Muster veraltet	Oskar Rautenberg	Regie		Potsdam			1999		false	35mm	352m	Trailer																
Poesie der defekten Neonreklamen, Die	Otmar Rösler	Kamera		Potsdam			1988		false	U-matic																		
Absprache war still, Die	Rita Vollrath			Potsdam			1996		false	35mm	413m																	
Zwischen Tropfen	York Töpfer	Regie	F1	Potsdam			1993		false	Betacam SP		Szenografie																
Wenn der Tag sich dem Abend neigt	Detlef Pätzold	Regie		Potsdam			1992		false	Betacam SP								Fiktion	Spot	Stadtbilder								
Zeiger der Zeit – 2007 (Magdeburg), Die	Janosch Büchner	Regie		Potsdam			1987		false	16mm	142m																	
Fragmente der Erinnerung	Chantal-Stefanie Krause	Regie	Abschlußfilm	Potsdam			1999		false			Dokumentarfilm	Homosexualität															
Und du nicht wach wurdest	Bui Thi Mai			Potsdam			1991		false	35mm	68m	Bühneninszenierung						Wendezeit										
Feierabend gestrichen	Martin Herrmann			Potsdam			1988		false	16mm	129m	Dokumentarfilm																
Ende der Reise, Das	Jörg Pätzold	Regie	Animationsübung	Potsdam			1995		false																			
Und die Milch war alle	Kai Oehme	Regie	F3	Potsdam			1998		false	35mm		Spielfilm																
Straße nach Eisenach, Die		Regie		Potsdam			1985		false	16mm	37m	Dokumentarfilm						Toshi-Do										
Klang aus Tiefe, Ein	Xenia Möller	Idee		Potsdam			1992		false	35mm	300m	Dokumentarfilm	Spielfilm					Kinospot										
Im Rahmen des Lichts	Stefan Popov	Regie	Lichtübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1991		false	35mm	66m	Bühneninszenierung	Ehe	Frauen	Soziale Probleme													
versunkene Dorf, Das		Regie		Potsdam			1994		false	Betacam SP																		
Flüsternde Wände	Xenia Schade	Kamera	Regieübung	Potsdam			1992		false	16mm	70m																	
Brücke ins Nichts, Die		Regie		Potsdam			1996	1997	false	16mm	85m	Spielfilm	Kriminalfilm															
Riss im Raum, Ein	Ulrike-Valerie Xander	Regie	Abschlußfilm	Potsdam			1995		false	16mm	1785m	Spielfilm																
Träumen nah, Den	Friederike Gohlke	Regie	Diplomfilm	Potsdam			1998		false	Betacam SP		Dokumentarfilm																
Und die Fahnen wehten falsch	Jörn-Karsten Lichtenberg	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1986		false	16mm	77m							DRA										
Am Fenster der Fremde	Xaver Ebeling	Kameraübung		Potsdam	Atelier für Dokumentarfilm Babelsberg		1993	1994	false	Betacam SP																		
Im Licht der Risse	Cornelius Zink	Buch		Potsdam			1985		false	16mm	1175m	Dokumentarfilm																
Zweifel	Paul Finke	Regie		Potsdam			1993		false	35mm	34m	Dokumentarfilm	Spielfilm															
Klang der Stille, Der	Yvonne Zink	Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Atelier für Dokumentarfilm Babelsberg	1989		false																			
letzte Akkord, Der	Hoang Thi Ngoc	Regie	TV-Übung	Potsdam			1989		false	U-matic		Animationsfilm	Adaption															
Hauch von Morgen, Ein	Gertraud Tietmeyer			Potsdam	Kollektiv Bild & Ton Potsdam		1988	1989	false	16mm	148m	Dokumentarfilm	Architektur	Arbeit	Zweiter Weltkrieg													
Bahnhof ohne Gleis				Potsdam			1987		false	16mm								Arbeiter	Bäckereihandwerk	Theater	Minenarbeiter	Minen	Goldmine	Arbeiter				
Ich nahm den zweiten Schritt zuerst	Bernd Yilmaz	Kamera	Kameraübung	Potsdam			1989		false	16mm	47.7m	Dokumentarfilm						DDR	Stasizentrale Leipzig	Berlin Außerordentlicher Parteitag der SED 1989	2	[zweiter] Weltkrieg						
Pfennig lag seit Tagen dort, Der	Cornelia Dittberner	Regie	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1993		false	S-VHS								3D Computeranimation	ohne Worte	ohne Sprache								
Tropfen auf Marmor	Fatima Ali			Potsdam	Atelier für Dokumentarfilm Babelsberg	Filmstudio Babelsberg Ost	1989		false	VHS		Dokumentarfilm																
Niemand kontrollierte die Anmeldung				Potsdam			1990		false	35mm	819m							Grenze	Wende	Afrika								
Wenn keiner mehr fragte	Nancy-Jutta Henke	Kamera		Potsdam	Filmstudio Babelsberg Ost		1992		false	Betacam SP		Spielfilm																
Am Horizont der Formen	Uschi Bongartz	Kamera		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1986		false			Spielfilm	Liebe															
Wenn das Licht zu grell wird		Kamera	Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1989		false																			
Schutzbrille war beschlagen, Die	Reiner Schultze	Regie		Potsdam			1988		false	16mm	241m																	
Mein erster Kinobesuch im Osten	Elfi Oberst	Regie	Diplomfilm	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1995		false	Betacam SP		Spielfilm						Relgion										
Ohne Haltepunkt	Otmar Rösler			Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1990		false	Betacam SP																		
Resonanzraum	Marta Novak	Idee	F1	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1997		false	16mm	86m	Spielfilm	Nationalsozialismus															
Farbe war eine Vermutung	Xaver Ebeling	Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1996		false	16mm	9m							Werbespot	ohne Worte	Kinospot	ohne Sprache	Spot	nonverbal	ohne Dialog	ohne Sprache	ohne Dialog	no dialogue	
Buch der gebrochenen Versprechen, Das	Olga Mielke	Regie	Kameraübung	Potsdam			1991		false	35mm	76m	Spielfilm	Jugendliche	Porträtfilm														
Versprechen des Lichts, Das	Falk Tamm	Buch		Potsdam			1985		false	16mm		Animationsfilm																
Norm war neu, Die		Regie					1988	1989	false	U-matic		Spielfilm	Arbeit															
Ich nahm den falschen Mantel	Chantal-Stefanie Krause	Regie	F3	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1994		false	S-VHS		Dokumentarfilm	Computeranimation															
Es war nicht mein Stift	Jürgen Uhlig	Regie	Kameraübung	Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1986		false	16mm	320m	Dokumentarfilm	Adaption															
letzte Spiegel, Der	Anja-Hildegard Herold	Regie	Montageübung	Potsdam	Filmstudio Babelsberg Ost		1998		false	16mm	232m	Spielfilm	Tod															
Abend ohne Farben, Ein	Benjamin Christ	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1987		false	U-matic		Dokumentarfilm	Biografischer Film															
Schlüssel war zu weich, Der	Udo-Ulrich Xylander	Kamera			Atelier für Dokumentarfilm Babelsberg		1989		false	35mm		Dokumentarfilm																
Moment, der in Herzen nachklingt, Ein	Margot Händel		TV-Übung	Potsdam			1989		false	35mm	130m	Dokumentarfilm																
Tanz der Schatten, Ein		Regie		Potsdam			1990		false	Betacam SP																		
Magie eines unverhofften Lächelns, Die	Jörg Pätzold	Regie	F2	Potsdam			1992		false	16mm	70m	Adaption																
Am Rand des Vermissens	Marta Novak	Regie		Potsdam			1998		false	35mm	9m																	
Als ich nicht mehr suchte	Tariq Abbas	Kamera	F1	Potsdam			1996		false	16mm	40m							Werbespot										
Notruf – aber leise	Andreas Koch	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1996		false	35mm	57m																	
Schlafwandeln in Dresden	Ludwig-Martin Lübke	Regie		Potsdam			1996	1997	false	Betacam SP		Animationsfilm																
Zeit, die wir erfanden, Die	Nadine Kindler	Regie		Potsdam			1993		false	Betacam SP		Dokumentarfilm	Animationsfilm															
Hauch von Ewigkeit, Ein				Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1997		false	16mm	78m																	
Am Kaffeetisch des Vertrauens	Cilli Finke	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1999		false																			
Vielleicht war es richtig	Arndt Böttger	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1986		true	35mm	45m																	
Vielleicht nur ein Spiel	Olga Jürgens			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1990		false																			
Stadt der schweigenden Glocken, Die		Redaktion		Potsdam			1985		false	16mm	43m	Dokumentarfilm	Zeichentrickfilm					Arbeitswelt	Filmmontage	Potsdam	Großküche	Weichenstellwerk	Modelleisenbahn					
Wo das Leben auf Pause stand	Chantal-Stefanie Krause	Regie	F2	Potsdam			1997	1998	false	Betacam SP																		
Mitteilung auf Rückseite	Louis Mayer	Kameraübung		Potsdam			1987		false	16mm	47m																	
Wo der Morgen ein Versprechen hält	Egon Härtel	Kamera	Hauptprüfungsfilm	Potsdam			1990		false	16mm	38.2m																	
Unterlagen waren geordnet, Die	Reinhard Schade	Regie	F1	Potsdam			1997		false	16mm	245m	Spielfilm																
Kugelschreiber: 1 Stück pro Person	Jana Illner		F1	Potsdam	Filmgruppe Berlin-Mitte		1997		false	16mm	42m	Dokumentarfilm	Zeichentrickfilm	Porträtfilm														
Wenn Geschichte durch Fenster zieht	Cornelius Zink	Regie		Potsdam			1985		false	16mm		Porträtfilm																
Nacht in Suhl	Sven Nolting	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1994		false	35mm	311m	Animationsfilm	Ausländer	Komödie														
Ich hörte einen Namen, der keiner war	Bernd Czerny	Regie					1988		false	16mm	190m																	
Rückkehr in Gedanken, Die		Regie	F3	Potsdam			1995		false	35mm	160m							Grenze	Mauer									
Zwischen Traktor und Trauer	Ottmar Schade	Buch	Kameraübung	Potsdam			1987		false	35mm		Dokumentarfilm	Spielfilm	Porträtfilm														
Fensterbeschlag – Dezember 1989	Zenta Abt	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false	VHS		Dokumentarfilm	Landschaft	Adaption	Porträtfilm													
Schattenwurf im März		Kameraübung	Lichtübung	Potsdam			1988		false	16mm																		
Mein FDJ-Ausweis lag im Schrank	Ingeburg Lütke	Kamera		Potsdam			1994		false	Betacam SP																		
Gespräch war zu kurz, Das		Regie		Potsdam			1998		false	16mm	30m	Spielfilm																
Liste der Ausfälle	Anastasia Ivanović	Regie	F1	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1995		false	DVD		Videoclip						nonverbal										
Fragen des Abends, Die	Bernd Yilmaz	Regie		Potsdam			1989		false			Talkshow																
Wenn der Himmel in Tränen zerfällt	Florian Mayer	Regie		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1996		false	16mm	15m	Spielfilm																
Schatten über Prag	Egon Franke			Potsdam			1997		false	Betacam SP																		
Als die Antwort zu früh kam		Regie	Diplomfilm	Potsdam			1989		false	16mm		Spielfilm																
Niemand trank den Tee	Tran Van Kiet	Regie	F3	Potsdam			1996	1997	false	35mm	282m																	
Apfel aus dem Westen, Der		Regie	Filmübung	Potsdam			1986		false	16mm	160m	Dokumentarfilm																
...wo die Berge fallen				Potsdam			1990		false	16mm	577m																	
Funkelnde Leere	Luise Kühne	Regie	TV-Übung	Potsdam	Kollektiv Bild & Ton Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	1989		false	VHS		Adaption	Politik	Dokumentarfilm														
Labyrinth aus Spiegel, Ein		Regie	Abschlußfilm	Potsdam			1989		false	16mm	94m	Dokumentarfilm						DDR Rockband	Talksendung	Oper								
Auf dem Bolzplatz in Magdeburg	Oskar Rothe	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1989		false																			
Niemand wusste, was geschah	Xaver Wehner	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1994		false	16mm	154m	Dokumentarfilm	Soziale Probleme	Kriminalität				Krimikomödie										
dritte Tür, Die	Heidemarie Karge	Regie		Potsdam			1986		false	16mm	150m	Dokumentarfilm																
Chronik der verwaisten Schuhe, Die	Stephan Schneider	Regie	F2	Potsdam	Produktionskollektiv Brandenburg/Havel	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1997		false	Betacam SP		Spielfilm																
Pult wurde versetzt	Xenia Schollmeyer	Regie		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1995		false	16mm	22m																	
Kaffeekanne, halb voll	Renate Eichel	Regie	F1	Potsdam			1995	1996	false									Parklandschaft	Potsdam	ohne Sprache	ohne Dialog	no dialogue						
Mein Name stand an der Wand				Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1990		false	S-VHS																		
Glanz in Grau, Ein	Bernd Czerny	Kamera		Potsdam			1988		false	16mm	44:3m	Dokumentarfilm																
Duft alter Zeitungen, Der		Regie	F3	Potsdam			1995		false	Betacam SP		Animationsfilm						Musikvideo	Agent Orange	Chemische Kampfmittel	Religiösität							
Uhrwerk aus Stille	Volker-Wilhelm Tamm	Regie		Potsdam			1994		false	35mm	1572m	Spielfilm	Wende															
Stimme war leiser als sonst, Die		Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1998		false	Betacam SP		Spielfilm	Milieufilm	Krankheit				nonverbal	nonverbal	ohne Sprache	ohne Dialog	no dialogue						
Schatten über Pößneck	Thorsten Schneider	Regie		Potsdam			1988		false	U-matic		Spielfilm																
Stunden voller Melancholie – Dresden	Nadja Schürer		Hauptprüfungsfilm	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1986		false	16mm	240m	Dokumentarfilm																
Pfad durch die Zeitungspaläste, Ein				Potsdam			1990		false	U-matic		Dokumentarfilm	Film- und Fernsehregie	Ausländer														
Tiefe Stufe, Die	Tariq Abbas	Idee	Lichtübung	Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1994		false	16mm	185m	Animationsfilm																
Wo sich die Herzen im Schweigen treffen	Hung Pham	Regie		Potsdam			1993	1994	false	35mm	60m																	
Dinge, die wir verschweigen, Die	Alexandra Bieber			Potsdam			1997		false	16mm	133m	Spielfilm																
Verbot für politische Lieder	Wolfhard Yildirim	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1998		false	16mm	65m	Spielfilm																
Im Zwielicht der Nacht – Cottbus		Regie	Kameraübung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1989		false	35mm	1953m	Landschaft																
Aussprache ausgesetzt	Yvonne Zink	Regie		Potsdam			1989		false			Dokumentarfilm																
Einmal nach links geschaut	Thorsten Schneider	Kamera		Potsdam	Filmgruppe Berlin-Mitte		1989		false	16mm		Animationsfilm																
Flurzeit auf 7 Minuten begrenzt	Patrick-Stefan Krauß	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1991	1992	false	35mm	591m	Dokumentarfilm																
Ich trug die Proben in die Ecke	Le Van Khoa	Kameraübung	Kameraübung	Potsdam	Kollektiv Bild & Ton Potsdam		1995		false	16mm	24m	Dokumentarfilm	Spielfilm															
Brücke der Stille, Die	Bertram Cremer	Regie		Potsdam			1994		false	35mm	1795m																	
Karte der Sterne, Die	Ottmar Schade	Regie	Hauptprüfungsfilm	Potsdam			1987		false	35mm	45m																	
Luft war nicht zuständig, Die	Lothar Kessel	Regie		Potsdam			1998		false	16mm	2020m																	
Blick zurück – 2000 (Berlin), Der	Stephan Schneider	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1995		false	Betacam																		
Löffel war nicht aus Aluminium, Der	Bärbel Degenhardt	Kamera		Potsdam			1993		false	35mm	90m	Dokumentarfilm																
Bauernaufstand am Morgen	Jürgen Uhlig	Kameraübung	Kameraübung	Potsdam			1988		false	16mm																		
Reise nach Nirgendwo, Die	Udo-Ulrich Xylander	Kamera		Potsdam			1989		false	16mm	43m																	
Kante im Licht	Xenia Abendroth	Regie		Potsdam			1993		false	16mm	160m	Dokumentarfilm	Adaption															
Strom fiel in jener Nacht, Der		Regie	F1	Potsdam			1993		false	Betacam SP		Ausländer	Kamera															
Bohrmaschine summte wie immer, Die	Uta Vollrath			Potsdam			1994		false	16mm	413m							Alte Menschen										
